Source,Destination,Protocol,Length,Payload Length,Type,Data,Detection
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
2000:1710:c01:1::1,2000:1710:c01:1::10,58,478,424,128,0,1
